case_id,description,assistance_category,people_affected,country,governorate,city,latitude,longitude,severity,urgency,required_resources,estimated_funding,current_funding,submission_date,status,priority
CASE-0040,A 12-person family needs temporary shelter after a severe storm made their home unsafe.,Emergency Housing,12,Egypt,Cairo,Cairo,30.063961,31.260351,Low,Medium,temporary shelter; repair materials; mattresses,5479.92,2713.25,2026-06-06,Active,Medium
CASE-0041,Families need clean drinking water and storage containers after a house fire affected local supplies.,Water,100,Egypt,Giza,6th of October,29.94835,30.935156,Medium,Medium,clean water; filtration kits; storage containers,71944.00,2638.52,2026-08-11,Active,High
CASE-0042,Families need clean drinking water and storage containers after a severe storm affected local supplies.,Water,114,Lebanon,Beirut,Beirut,33.897677,35.513784,High,Medium,clean water; filtration kits; storage containers,67045.44,0.00,2025-08-18,Active,High
CASE-0043,Families need clean drinking water and storage containers after local displacement affected local supplies.,Water,143,Tunisia,Tunis,Tunis,36.797522,10.189621,High,Medium,clean water; filtration kits; storage containers,68553.10,4844.83,2025-07-06,Active,High
CASE-0044,A 2-person family needs temporary shelter after a severe storm made their home unsafe.,Emergency Housing,2,Tunisia,Tunis,Tunis,36.830743,10.166563,Low,High,temporary shelter; repair materials; mattresses,1885.64,0.00,2026-07-12,Active,Medium
CASE-0045,Families affected by flash flooding require staple food supplies for the coming weeks.,Food,4,Egypt,Alexandria,Alexandria,31.181334,29.898481,Low,Critical,food parcels; cooking staples; infant nutrition,2081.52,1863.38,2026-07-25,Funded,Medium
CASE-0046,Families affected by flash flooding require staple food supplies for the coming weeks.,Food,22,Lebanon,Beirut,Beirut,33.874844,35.485576,High,Medium,food parcels; cooking staples; infant nutrition,16936.92,0.00,2026-07-29,Active,High
CASE-0047,People displaced by a severe storm require clothing and blankets while they recover.,Clothing,5,Lebanon,Beirut,Beirut,33.893886,35.51948,Medium,Critical,seasonal clothing; blankets; hygiene kits,3264.00,467.51,2025-08-26,Active,High
CASE-0048,Children need school materials and fee support after local displacement interrupted household income.,Education,5,Egypt,Cairo,Cairo,30.048975,31.252989,Medium,Medium,school kits; uniforms; learning materials,2747.20,2295.42,2026-08-27,Funded,Low
CASE-0049,Housing repairs and safe temporary accommodation are needed following earthquake damage.,Emergency Housing,38,Egypt,Aswan,Aswan,24.081496,32.887254,High,Medium,temporary shelter; repair materials; mattresses,17888.64,3746.09,2025-11-24,Active,High
CASE-0050,"A family needs medical assistance after a severe storm, including treatment and essential supplies.",Medical Aid,16,Jordan,Irbid,Irbid,32.53595,35.870223,High,High,medicines; clinic visits; medical transport,11685.52,1990.81,2025-06-13,Active,High
CASE-0051,"A family needs medical assistance after a severe storm, including treatment and essential supplies.",Medical Aid,11,Egypt,Cairo,Cairo,30.050771,31.212542,Low,Low,medicines; clinic visits; medical transport,6760.22,2000.89,2026-01-14,Active,Medium
CASE-0052,Children need school materials and fee support after local displacement interrupted household income.,Education,37,Egypt,Giza,6th of October,29.978243,30.90959,High,Medium,school kits; uniforms; learning materials,24519.88,0.00,2026-04-12,Active,High
CASE-0053,"Residents affected by local displacement need urgent medicines, examinations, and transport to care.",Medical Aid,27,Tunisia,Tunis,Tunis,36.789975,10.187023,High,Medium,medicines; clinic visits; medical transport,14192.64,2953.26,2026-04-20,Active,High
CASE-0054,A 24-person household needs food parcels after a severe storm disrupted its income.,Food,24,Egypt,Giza,6th of October,29.990555,30.933503,High,Medium,food parcels; cooking staples; infant nutrition,14358.96,4422.30,2026-03-10,Active,Medium
CASE-0055,Families need clean drinking water and storage containers after a severe storm affected local supplies.,Water,94,Jordan,Amman,Amman,31.954158,35.908245,High,Critical,clean water; filtration kits; storage containers,27877.08,4088.10,2025-07-14,Active,Critical
CASE-0056,Housing repairs and safe temporary accommodation are needed following a severe storm.,Emergency Housing,19,Egypt,Alexandria,Alexandria,31.199119,29.929,High,High,temporary shelter; repair materials; mattresses,15021.16,1808.18,2025-10-26,Active,High
CASE-0057,Families need clean drinking water and storage containers after local displacement affected local supplies.,Water,102,Egypt,Giza,6th of October,29.960129,30.913579,Critical,Medium,clean water; filtration kits; storage containers,75759.12,303.23,2025-07-24,Active,High
CASE-0058,Housing repairs and safe temporary accommodation are needed following flash flooding.,Emergency Housing,36,Jordan,Irbid,Irbid,32.551888,35.829795,High,Medium,temporary shelter; repair materials; mattresses,18683.28,377.06,2026-05-26,Active,High
CASE-0059,Children need school materials and fee support after earthquake damage interrupted household income.,Education,7,Egypt,Alexandria,Alexandria,31.182554,29.901835,Medium,Medium,school kits; uniforms; learning materials,5508.00,2193.05,2025-06-16,Active,Medium
CASE-0060,Children need school materials and fee support after flash flooding interrupted household income.,Education,11,Egypt,Alexandria,Alexandria,31.193594,29.908782,Low,High,school kits; uniforms; learning materials,7175.58,1831.72,2025-08-13,Active,Medium
CASE-0061,A 35-person family needs temporary shelter after a severe storm made their home unsafe.,Emergency Housing,35,Egypt,Giza,6th of October,29.942849,30.904262,Critical,Medium,temporary shelter; repair materials; mattresses,13949.20,2874.65,2025-12-23,Active,High
CASE-0062,Children need school materials and fee support after a house fire interrupted household income.,Education,6,Lebanon,Beirut,Beirut,33.877133,35.491643,Low,Medium,school kits; uniforms; learning materials,4368.36,2188.46,2025-08-24,Active,Low
CASE-0063,"A family needs medical assistance after a house fire, including treatment and essential supplies.",Medical Aid,13,Jordan,Irbid,Irbid,32.573233,35.823675,Critical,Medium,medicines; clinic visits; medical transport,6668.44,599.63,2025-03-27,Active,High
CASE-0064,Children need school materials and fee support after a house fire interrupted household income.,Education,10,Egypt,Giza,6th of October,29.946059,30.92129,Low,Low,school kits; uniforms; learning materials,3492.80,2250.16,2025-10-14,Active,Low
CASE-0065,"Residents affected by flash flooding need urgent medicines, examinations, and transport to care.",Medical Aid,16,Egypt,Cairo,Cairo,30.046497,31.211386,High,High,medicines; clinic visits; medical transport,6264.72,3958.20,2026-04-10,Active,High
CASE-0066,A 8-person family needs temporary shelter after earthquake damage made their home unsafe.,Emergency Housing,8,Tunisia,Tunis,Tunis,36.812633,10.162147,Medium,Medium,temporary shelter; repair materials; mattresses,6326.72,0.00,2025-12-02,Active,Medium
CASE-0067,"Residents affected by local displacement need urgent medicines, examinations, and transport to care.",Medical Aid,9,Jordan,Irbid,Irbid,32.558718,35.85946,Low,High,medicines; clinic visits; medical transport,5936.58,2047.25,2026-04-18,Active,Medium
CASE-0068,Housing repairs and safe temporary accommodation are needed following earthquake damage.,Emergency Housing,23,Tunisia,Tunis,Tunis,36.823773,10.158718,High,Medium,temporary shelter; repair materials; mattresses,13960.10,3057.84,2025-08-06,Active,High
CASE-0069,"A family needs medical assistance after a house fire, including treatment and essential supplies.",Medical Aid,41,Tunisia,Tunis,Tunis,36.792845,10.198789,High,High,medicines; clinic visits; medical transport,18370.66,0.00,2025-09-06,Active,High
CASE-0070,Children need school materials and fee support after a house fire interrupted household income.,Education,9,Lebanon,Beirut,Beirut,33.892574,35.516137,Medium,Medium,school kits; uniforms; learning materials,3757.68,3750.17,2026-02-21,Completed,Low
CASE-0071,Children need school materials and fee support after earthquake damage interrupted household income.,Education,12,Lebanon,Beirut,Beirut,33.895813,35.4909,Medium,High,school kits; uniforms; learning materials,5777.28,3058.25,2025-04-27,Active,Medium
CASE-0072,A community requires emergency water deliveries because earthquake damage disrupted access to safe water.,Water,50,Jordan,Amman,Amman,31.943098,35.929981,Low,Medium,clean water; filtration kits; storage containers,18349.00,2813.40,2025-04-01,Active,Medium
CASE-0073,Families affected by a severe storm require staple food supplies for the coming weeks.,Food,11,Egypt,Aswan,Aswan,24.089843,32.891356,Medium,Low,food parcels; cooking staples; infant nutrition,8988.24,0.00,2025-08-01,Active,Medium
CASE-0074,"A family needs medical assistance after a house fire, including treatment and essential supplies.",Medical Aid,41,Egypt,Aswan,Aswan,24.072061,32.913788,High,Critical,medicines; clinic visits; medical transport,24558.38,3355.33,2025-08-15,Active,Critical
CASE-0075,Families affected by earthquake damage require staple food supplies for the coming weeks.,Food,30,Egypt,Cairo,Cairo,30.029933,31.234512,High,Critical,food parcels; cooking staples; infant nutrition,22684.20,944.18,2026-05-23,Active,High
CASE-0076,"A family needs medical assistance after earthquake damage, including treatment and essential supplies.",Medical Aid,4,Lebanon,Beirut,Beirut,33.874814,35.496094,Medium,Medium,medicines; clinic visits; medical transport,3666.56,2556.92,2025-12-14,Active,Medium
CASE-0077,A 12-person household needs food parcels after local displacement disrupted its income.,Food,12,Egypt,Aswan,Aswan,24.071599,32.904011,Low,High,food parcels; cooking staples; infant nutrition,5649.84,3441.49,2025-12-16,Active,Medium
CASE-0078,A community requires emergency water deliveries because local displacement disrupted access to safe water.,Water,15,Egypt,Cairo,Cairo,30.053029,31.235145,Medium,High,clean water; filtration kits; storage containers,10159.20,4113.26,2025-09-24,Active,Medium
CASE-0079,Families need clean drinking water and storage containers after local displacement affected local supplies.,Water,120,Jordan,Irbid,Irbid,32.552687,35.841011,Medium,Critical,clean water; filtration kits; storage containers,54753.60,4560.68,2026-05-24,Active,High
CASE-0080,A community requires emergency water deliveries because local displacement disrupted access to safe water.,Water,124,Egypt,Cairo,Cairo,30.023226,31.258972,Critical,Low,clean water; filtration kits; storage containers,54228.16,4792.86,2026-02-14,Active,High
CASE-0081,People displaced by a house fire require clothing and blankets while they recover.,Clothing,52,Egypt,Giza,6th of October,29.955173,30.945468,Critical,Medium,seasonal clothing; blankets; hygiene kits,46715.20,2171.90,2025-05-05,Active,High
CASE-0082,A 19-person household needs food parcels after local displacement disrupted its income.,Food,19,Jordan,Irbid,Irbid,32.564655,35.83877,High,Critical,food parcels; cooking staples; infant nutrition,12036.64,2186.56,2025-10-20,Active,High
CASE-0083,Families need clean drinking water and storage containers after a severe storm affected local supplies.,Water,117,Jordan,Amman,Amman,31.953985,35.943964,Medium,Critical,clean water; filtration kits; storage containers,75373.92,1484.24,2025-08-16,Active,High
CASE-0084,Families affected by a house fire require staple food supplies for the coming weeks.,Food,10,Jordan,Irbid,Irbid,32.53871,35.857481,Medium,High,food parcels; cooking staples; infant nutrition,5004.80,4794.07,2025-07-29,Completed,Medium
CASE-0085,Children need school materials and fee support after earthquake damage interrupted household income.,Education,47,Lebanon,Beirut,Beirut,33.908404,35.500606,High,Medium,school kits; uniforms; learning materials,17381.98,1682.26,2025-07-08,Active,High
CASE-0086,A community requires emergency water deliveries because local displacement disrupted access to safe water.,Water,132,Egypt,Cairo,Cairo,30.054608,31.21509,Critical,Critical,clean water; filtration kits; storage containers,52404.96,1918.79,2026-08-30,Active,Critical
CASE-0087,A 28-person family needs temporary shelter after flash flooding made their home unsafe.,Emergency Housing,28,Lebanon,Beirut,Beirut,33.891136,35.493511,High,Low,temporary shelter; repair materials; mattresses,15055.04,1139.06,2026-03-11,Active,High
CASE-0088,Housing repairs and safe temporary accommodation are needed following flash flooding.,Emergency Housing,45,Egypt,Aswan,Aswan,24.064124,32.897551,Critical,Medium,temporary shelter; repair materials; mattresses,25851.60,2474.02,2026-04-03,Active,High
CASE-0089,"Residents affected by local displacement need urgent medicines, examinations, and transport to care.",Medical Aid,6,Lebanon,Beirut,Beirut,33.875489,35.481878,Medium,Critical,medicines; clinic visits; medical transport,4643.04,1737.40,2026-05-08,Active,High
CASE-0090,"Residents affected by flash flooding need urgent medicines, examinations, and transport to care.",Medical Aid,9,Jordan,Amman,Amman,31.956187,35.953376,Low,Medium,medicines; clinic visits; medical transport,3419.64,1785.21,2025-09-11,Active,Medium
CASE-0091,"A family needs medical assistance after a severe storm, including treatment and essential supplies.",Medical Aid,6,Lebanon,Beirut,Beirut,33.903363,35.483087,Medium,Medium,medicines; clinic visits; medical transport,3843.36,1555.22,2025-06-15,Active,Medium
CASE-0092,Families affected by flash flooding require staple food supplies for the coming weeks.,Food,5,Egypt,Cairo,Cairo,30.051211,31.238122,Low,Low,food parcels; cooking staples; infant nutrition,3475.10,3086.06,2026-05-26,Funded,Low
CASE-0093,"A family needs medical assistance after local displacement, including treatment and essential supplies.",Medical Aid,11,Jordan,Irbid,Irbid,32.559105,35.838492,Medium,Low,medicines; clinic visits; medical transport,5457.68,0.00,2025-05-10,Active,Medium
CASE-0094,"A family needs medical assistance after a house fire, including treatment and essential supplies.",Medical Aid,46,Jordan,Irbid,Irbid,32.552451,35.830182,High,High,medicines; clinic visits; medical transport,25896.64,6087.57,2025-04-15,Active,High
CASE-0095,A 2-person family needs temporary shelter after local displacement made their home unsafe.,Emergency Housing,2,Egypt,Cairo,Cairo,30.052411,31.247288,Medium,High,temporary shelter; repair materials; mattresses,2012.80,284.90,2026-08-15,Active,High
CASE-0096,A community requires emergency water deliveries because a house fire disrupted access to safe water.,Water,11,Egypt,Aswan,Aswan,24.105721,32.917708,Medium,High,clean water; filtration kits; storage containers,6385.20,0.00,2025-10-19,Active,High
CASE-0097,"A family needs medical assistance after a house fire, including treatment and essential supplies.",Medical Aid,11,Egypt,Giza,6th of October,29.981294,30.917019,Medium,Medium,medicines; clinic visits; medical transport,5023.84,1545.27,2026-05-08,Active,Medium
CASE-0098,"Families need seasonal clothing, blankets, and basic hygiene items after a severe storm.",Clothing,7,Egypt,Alexandria,Alexandria,31.223228,29.905844,Medium,Low,seasonal clothing; blankets; hygiene kits,5032.00,5015.36,2025-11-02,Completed,Low
CASE-0099,A 43-person household needs food parcels after a severe storm disrupted its income.,Food,43,Tunisia,Tunis,Tunis,36.788017,10.174733,Critical,High,food parcels; cooking staples; infant nutrition,36752.96,2619.41,2026-09-08,Active,High
CASE-0100,Housing repairs and safe temporary accommodation are needed following earthquake damage.,Emergency Housing,9,Jordan,Irbid,Irbid,32.575706,35.822005,Low,Medium,temporary shelter; repair materials; mattresses,4226.76,1876.58,2026-06-15,Active,Medium
CASE-0101,A 33-person family needs temporary shelter after a severe storm made their home unsafe.,Emergency Housing,33,Egypt,Alexandria,Alexandria,31.199261,29.924533,High,Critical,temporary shelter; repair materials; mattresses,24000.90,3434.77,2025-03-24,Active,Critical
CASE-0102,Education support is needed for children whose learning was disrupted by earthquake damage.,Education,18,Egypt,Giza,6th of October,29.948342,30.918141,High,Medium,school kits; uniforms; learning materials,10644.48,2895.69,2026-02-11,Active,Medium
CASE-0103,Families affected by earthquake damage require staple food supplies for the coming weeks.,Food,33,Jordan,Irbid,Irbid,32.563521,35.871633,High,Medium,food parcels; cooking staples; infant nutrition,14700.84,0.00,2025-09-16,Active,High
CASE-0104,A 7-person family needs temporary shelter after flash flooding made their home unsafe.,Emergency Housing,7,Egypt,Aswan,Aswan,24.095656,32.914027,High,High,temporary shelter; repair materials; mattresses,4447.52,4093.14,2025-06-04,Funded,Medium
CASE-0105,"Residents affected by a severe storm need urgent medicines, examinations, and transport to care.",Medical Aid,7,Egypt,Alexandria,Alexandria,31.176015,29.900052,Medium,Critical,medicines; clinic visits; medical transport,5365.20,0.00,2025-05-11,Active,High
CASE-0106,"Residents affected by a severe storm need urgent medicines, examinations, and transport to care.",Medical Aid,14,Egypt,Giza,6th of October,29.945328,30.903579,High,Low,medicines; clinic visits; medical transport,8328.32,5549.06,2025-10-15,Active,Medium
CASE-0107,A 13-person household needs food parcels after earthquake damage disrupted its income.,Food,13,Egypt,Giza,6th of October,29.981533,30.928262,Critical,Medium,food parcels; cooking staples; infant nutrition,11632.36,2484.54,2025-04-19,Active,High
CASE-0108,"Residents affected by local displacement need urgent medicines, examinations, and transport to care.",Medical Aid,8,Egypt,Alexandria,Alexandria,31.208118,29.929885,Medium,Low,medicines; clinic visits; medical transport,4564.16,233.53,2025-12-12,Active,Medium
CASE-0109,A 6-person household needs food parcels after a severe storm disrupted its income.,Food,6,Jordan,Amman,Amman,31.964835,35.93869,Low,Medium,food parcels; cooking staples; infant nutrition,2987.76,903.67,2025-12-19,Active,Low
CASE-0110,Families affected by local displacement require staple food supplies for the coming weeks.,Food,6,Egypt,Alexandria,Alexandria,31.220659,29.931032,Low,Critical,food parcels; cooking staples; infant nutrition,3143.52,3025.52,2026-06-25,Completed,Low
CASE-0111,Families affected by flash flooding require staple food supplies for the coming weeks.,Food,30,Lebanon,Beirut,Beirut,33.873889,35.525275,High,Medium,food parcels; cooking staples; infant nutrition,23377.20,3116.57,2025-04-27,Active,High
CASE-0112,A 5-person household needs food parcels after flash flooding disrupted its income.,Food,5,Tunisia,Tunis,Tunis,36.809602,10.191499,Medium,High,food parcels; cooking staples; infant nutrition,2631.60,2184.97,2026-07-27,Funded,Medium
CASE-0113,"Residents affected by local displacement need urgent medicines, examinations, and transport to care.",Medical Aid,2,Egypt,Giza,6th of October,29.967317,30.910449,Medium,Medium,medicines; clinic visits; medical transport,2113.44,602.19,2025-04-02,Active,Medium
CASE-0114,Education support is needed for children whose learning was disrupted by a severe storm.,Education,12,Egypt,Aswan,Aswan,24.08334,32.875401,Low,Medium,school kits; uniforms; learning materials,7547.28,4694.98,2025-11-19,Active,Low
CASE-0115,"Residents affected by earthquake damage need urgent medicines, examinations, and transport to care.",Medical Aid,50,Tunisia,Tunis,Tunis,36.830707,10.183336,Critical,Critical,medicines; clinic visits; medical transport,32852.00,2190.27,2026-02-26,Active,Critical
CASE-0116,"A family needs medical assistance after local displacement, including treatment and essential supplies.",Medical Aid,17,Tunisia,Tunis,Tunis,36.821917,10.166911,Critical,High,medicines; clinic visits; medical transport,7571.44,889.10,2026-01-06,Active,Critical
CASE-0117,Children need school materials and fee support after a house fire interrupted household income.,Education,4,Jordan,Irbid,Irbid,32.577354,35.867425,Medium,Low,school kits; uniforms; learning materials,2861.44,2840.76,2025-11-24,Completed,Low
CASE-0118,A 10-person household needs food parcels after flash flooding disrupted its income.,Food,10,Egypt,Alexandria,Alexandria,31.215744,29.914023,High,Low,food parcels; cooking staples; infant nutrition,8470.00,3041.97,2025-08-07,Active,Medium
CASE-0119,Housing repairs and safe temporary accommodation are needed following a house fire.,Emergency Housing,34,Egypt,Alexandria,Alexandria,31.181155,29.908139,High,High,temporary shelter; repair materials; mattresses,26990.04,5510.51,2025-12-12,Active,High
CASE-0120,Housing repairs and safe temporary accommodation are needed following earthquake damage.,Emergency Housing,36,Jordan,Irbid,Irbid,32.551532,35.845913,High,Medium,temporary shelter; repair materials; mattresses,18184.32,565.32,2026-08-03,Active,High
CASE-0121,"Families need seasonal clothing, blankets, and basic hygiene items after a house fire.",Clothing,2,Tunisia,Tunis,Tunis,36.829793,10.168983,Medium,High,seasonal clothing; blankets; hygiene kits,1827.84,1400.98,2026-02-02,Funded,Medium
CASE-0122,A community requires emergency water deliveries because a severe storm disrupted access to safe water.,Water,81,Jordan,Irbid,Irbid,32.552816,35.826801,Medium,High,clean water; filtration kits; storage containers,55643.04,1530.78,2025-08-14,Active,High
CASE-0123,"Residents affected by flash flooding need urgent medicines, examinations, and transport to care.",Medical Aid,40,Egypt,Cairo,Cairo,30.051201,31.218608,Critical,High,medicines; clinic visits; medical transport,22050.40,5505.02,2025-08-06,Active,Critical
